rank,target,id,raw.score,p.value,top.motif.prop,enriched.motif
1,elt-6,elt-6,1.273104484084203,3.59597648720754e-13,0.1095890410958904,TRUE
2,elt-1,elt-1,2.3262844675870937,3.3166390459601345e-12,0.12100456621004566,TRUE
3,elt-3,elt-3,3.273654206696036,1.1247358229524567e-10,0.1324200913242009,TRUE
4,end-3,end-3,0.9899042177881365,9.877066359450358e-10,0.07990867579908675,TRUE
5,end-1,end-1,0.8860395374334533,9.849414466711652e-9,0.091324200913242,TRUE
6,jun-1,jun-1,1.749501925626867,4.910519011242288e-7,0.0958904109589041,TRUE
7,elt-7,elt-7,1.6061212861061895,7.967845735391873e-7,0.091324200913242,TRUE
8,skn-1,skn-1,0.9852068196632385,1.489851261181577e-6,0.07077625570776255,TRUE
9,egl-27,egl-27,2.7534000747226655,2.505187927302219e-6,0.11187214611872145,TRUE
10,sptf-3,sptf-3,14.862160904879556,9.42096396193361e-5,0.07077625570776255,TRUE
11,ztf-27,ztf-27,1.6170563637394573,9.478944641305212e-5,0.0502283105022831,TRUE
12,klf-3,klf-3,6.365046234415262,4.069190953782677e-4,0.07534246575342465,TRUE
13,fkh-9,fkh-9,1.2512445005876014,4.217830130498888e-4,0.0867579908675799,TRUE
14,che-1,che-1,1.6552961928789596,7.052917043556869e-4,0.0730593607305936,TRUE
15,dmd-3,dmd-3,1.1214733932507503,9.125640217745452e-4,0.08904109589041095,TRUE
16,T07C12.11,T07C12.11,1.052620923314841,0.001022997769770959,0.07077625570776255,TRUE
17,lin-39,lin-39,1.062532352895971,0.0014716573882865645,0.0319634703196347,TRUE
18,dmd-4,dmd-4,0.8318584501780192,0.004215726310872001,0.07990867579908675,TRUE
19,D1005.3,D1005.3,0.9640310983417467,0.00644405955754044,0.05707762557077625,TRUE
20,T22H9.4,T22H9.4,2.0715257477326077,0.006821539755407052,0.09360730593607305,TRUE
21,daf-16,daf-16,1.157897377509701,0.007655126218478156,0.07534246575342465,TRUE
22,atf-7,atf-7,3.1616462500619673,0.00796046689632716,0.07077625570776255,TRUE
23,mnm-2,mnm-2,1.1888871082954255,0.00899834775044322,0.0410958904109589,TRUE
24,zip-3,zip-3,1.229799227289532,0.011346694515858131,0.0410958904109589,TRUE
25,atf-5,atf-5,3.2008819838048828,0.011969426311551689,0.04337899543378995,TRUE
26,nhr-46,nhr-46,1.0871114655970882,0.012121769186149472,0.08447488584474885,TRUE
27,C46E10.8,C46E10.8,1.1319972647660803,0.01288476884640467,0.07534246575342465,TRUE
28,gei-3,gei-3,1.0001617579664965,0.01446779036744059,0.0958904109589041,TRUE
29,scrt-1,scrt-1,1.160113473364848,0.02121821098135222,0.0547945205479452,TRUE
30,pha-4,pha-4,1.27723487339161,0.029477759581006735,0.0410958904109589,TRUE
31,skn-1,skn-1,8.033734788869932,0.03164745696913397,0.0319634703196347,TRUE
32,pop-1,pop-1,1.1033458323205196,0.03185055707363569,0.0547945205479452,TRUE
33,bed-3,bed-3,1.537956742139132,0.033954922095289906,0.06621004566210045,TRUE
34,cey-1,cey-1,1.0945685451425724,0.03410895450306048,0.05251141552511415,TRUE
35,atf-6,atf-6,1.048614831106054,0.03938752108178231,0.02968036529680365,TRUE
36,ceh-26,ceh-26,1.1605936008349704,0.04073450662651466,0.0639269406392694,TRUE
37,sem-2,sem-2,1.1206251714568831,0.04185077165265245,0.03424657534246575,TRUE
38,egrh-1,egrh-1,5.602459482135264,0.042227920013758455,0.02511415525114155,TRUE
39,unc-62,unc-62,1.0054868382907944,0.04487759176112991,0.06621004566210045,TRUE
40,dmd-5,dmd-5,0.9567863879627314,0.04611515538419923,0.07077625570776255,TRUE
41,tag-347,tag-347,0.8241873396393692,0.05272404389820688,0.08447488584474885,FALSE
42,skn-1,skn-1,0.9965908452611972,0.06063758309020299,0.07077625570776255,FALSE
43,nhr-145,nhr-145,1.0786063852385108,0.06153457388389457,0.03424657534246575,FALSE
44,nhr-25,nhr-25,1.1074103023095279,0.073542222677001,0.02968036529680365,FALSE
45,syd-9,syd-9,0.8367466988131307,0.07747452539329303,0.06164383561643835,FALSE
46,let-381,let-381,1.0371640457129165,0.07940387474912537,0.091324200913242,FALSE
47,nhr-232,nhr-232,1.0857985000400852,0.07987612808632678,0.06164383561643835,FALSE
48,F23F12.9,F23F12.9,0.9544000545720531,0.08863546708523753,0.02968036529680365,FALSE
49,nhr-177,nhr-177,1.373745556582502,0.08915145278371579,0.07077625570776255,FALSE
50,nhr-142,nhr-142,1.1261405248092018,0.09010625109212952,0.06621004566210045,FALSE
51,F55C5.11,F55C5.11,1.2019245503226572,0.09114889602801914,0.06164383561643835,FALSE
52,ceh-22,ceh-22,1.7314164486062693,0.0964321590271014,0.0319634703196347,FALSE
53,F17A9.3,F17A9.3,0.7223654765418884,0.09899282088896252,0.03424657534246575,FALSE
54,nhr-84,nhr-84,1.2727629320202902,0.10902269273802055,0.05707762557077625,FALSE
55,efl-2,efl-2,3.873519985441703,0.12441176703319923,0.03424657534246575,FALSE
56,nhr-3,nhr-3,1.049630281461742,0.12934293302027364,0.0639269406392694,FALSE
57,nhr-42,nhr-42,1.0479471057875636,0.1307891490381814,0.02968036529680365,FALSE
58,efl-2,efl-2,3.559930249563227,0.1314579476666906,0.0410958904109589,FALSE
59,W08E12.1,W08E12.1,2.637475586250367,0.14037313289405945,0.0410958904109589,FALSE
60,ZK337.2,ZK337.2,5.319007444213386,0.14088719708022807,0.03424657534246575,FALSE
61,gei-11,gei-11,14.560563581117552,0.15498309127130722,0.02511415525114155,FALSE
62,pha-2,pha-2,0.9931585922540752,0.16426098986417573,0.0319634703196347,FALSE
63,ztf-19,ztf-19,0.7566917959067639,0.16617501567450133,0.0547945205479452,FALSE
64,C34D1.1,C34D1.1,1.872883795463258,0.16696790852230373,0.0776255707762557,FALSE
65,Y53H1A.2,Y53H1A.2,1.860875075832077,0.173171664892416,0.02968036529680365,FALSE
66,tbx-43,tbx-43,1.2834302075088548,0.17389983683379745,0.0319634703196347,FALSE
